gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,temp,prcp,snow,rain,wspd,rhum,tatil_mi,ay,hafta_indeksi,Lokasyon Adı,Rakım (m),En Yakın Hastane,Has. Mesafe (km),Ort. Eğim (%),Ziyaretci_2022,Ziyaretci_2023,Ziyaretci_2024,Ziyaretci_2025,Has. Varış Süresi (Dk),Yol Türü & Yüzey Durumu_14 km Asfalt + 12 km Stabilize + Yaya,Yol Türü & Yüzey Durumu_20 km Asfalt + 6 km Stabilize,Yol Türü & Yüzey Durumu_56 km Asfalt + 20-25 km Toprak,Yol Türü & Yüzey Durumu_Asfalt (Dar ve Yüksek Virajlı),Yol Türü & Yüzey Durumu_Tamamı Asfalt,Yol Türü & Yüzey Durumu_Tamamı Asfalt (Eğimli Tırmanış),Yol Türü & Yüzey Durumu_Tamamı Asfalt (Virajlı),Bölge_Batı Karadeniz,Bölge_Doğu Karadeniz,Bölge_Orta Karadeniz
3561,3,5.0,1186.79,6.23,24.33,7.99,16.34,5.08,73.11,0,4,15,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
8308,7,4.67,1186.79,3.8,8.57,2.47,6.1,4.68,68.81,1,4,16,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
2374,2,4.5,1186.79,8.69,3.09,2.66,0.43,4.2,68.05,1,4,17,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
13055,11,4.75,1186.79,8.54,9.64,0.0,9.64,4.64,75.51,1,5,18,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
30856,26,4.89,1186.79,5.62,10.48,0.0,10.48,5.53,78.53,0,5,19,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
11868,10,4.95,1186.79,10.71,8.58,0.0,8.58,4.24,61.86,1,5,20,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
24924,21,4.27,1186.79,11.59,14.99,0.0,14.99,5.46,65.38,0,5,21,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
24922,21,4.9,1186.79,16.63,1.65,0.0,1.65,5.04,61.22,0,6,22,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
17801,15,4.53,1186.79,15.5,1.43,0.0,1.43,5.35,74.1,0,6,23,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
15429,13,4.92,1186.79,14.04,55.68,0.0,55.68,4.35,78.46,0,6,24,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
11868,10,4.94,1186.79,15.61,12.19,0.0,12.19,5.38,76.1,0,6,25,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
14243,12,4.79,1186.79,13.58,49.85,0.0,49.85,5.42,79.03,0,6,26,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
9495,8,4.35,1186.79,15.29,45.92,0.0,45.92,4.96,76.4,1,7,27,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
16616,14,4.88,1186.79,15.7,18.41,0.0,18.41,4.63,76.7,1,7,28,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
52220,44,4.67,1186.79,15.51,2.15,0.0,2.15,5.83,70.7,0,7,29,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
43913,37,4.81,1186.79,16.61,0.35,0.0,0.35,5.03,63.65,0,7,30,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
62901,53,4.82,1186.79,18.81,0.99,0.0,0.99,5.15,70.03,0,8,31,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
35604,30,4.79,1186.79,18.62,1.31,0.0,1.31,5.9,72.08,0,8,32,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
43912,37,4.63,1186.79,16.99,42.34,0.0,42.34,4.51,78.43,0,8,33,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
47472,40,4.73,1186.79,18.62,3.54,0.0,3.54,3.79,72.65,0,8,34,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
43912,37,4.74,1186.79,18.54,12.41,0.0,12.41,3.69,76.23,1,9,35,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
30856,26,4.73,1186.79,17.65,8.74,0.0,8.74,4.47,79.67,0,9,36,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
33231,28,4.6,1186.79,14.3,6.59,0.0,6.59,4.49,69.19,0,9,37,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
27296,23,4.7,1186.79,14.45,2.36,0.0,2.36,3.9,64.71,0,9,38,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
15429,13,4.81,1186.79,7.5,10.41,0.0,10.41,4.44,71.65,0,9,39,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
28484,24,4.17,1186.79,12.65,9.94,0.0,9.94,3.55,69.86,0,10,40,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
22549,19,4.67,1186.79,7.68,30.32,0.0,30.32,4.52,86.25,0,10,41,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
13056,11,4.57,1186.79,8.25,30.88,0.0,30.88,4.27,86.94,0,10,42,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
18990,16,4.86,1186.79,6.94,3.85,0.0,3.85,3.83,76.18,1,10,43,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
21362,18,4.93,1186.79,5.57,0.47,0.0,0.47,2.76,79.59,0,11,44,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
35603,30,4.87,1186.79,6.17,1.1,0.0,1.1,2.53,74.11,0,11,45,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
23737,20,4.68,1186.79,3.74,0.14,0.0,0.14,2.64,79.33,0,11,46,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
28482,24,4.57,1186.79,8.41,4.15,0.0,4.15,4.83,66.5,0,11,47,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
15429,13,4.64,1186.79,3.05,29.09,23.35,5.74,4.43,81.99,0,12,48,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
14242,12,4.87,1186.79,2.98,11.2,0.04,11.16,2.73,88.77,0,12,49,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
23737,20,4.83,1186.79,5.48,7.6,0.0,7.6,3.97,74.77,0,12,50,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
11870,10,4.75,1186.79,4.29,25.28,16.52,8.76,4.08,84.31,0,12,51,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
9495,8,4.73,1186.79,-1.02,16.91,16.91,0.0,3.31,78.7,1,12,52,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
21716,17,4.35,1260.11,0.07,2.57,2.57,0.0,2.07,82.55,0,1,53,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
20208,14,4.62,1443.42,-1.18,2.57,2.57,0.0,2.58,78.62,0,1,54,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
27424,19,4.84,1443.42,1.96,2.47,0.23,2.24,4.29,74.55,0,1,55,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
14433,10,4.87,1443.42,5.42,0.0,0.0,0.0,6.19,61.43,0,1,56,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
24537,17,4.93,1443.42,0.12,14.18,13.04,1.14,5.52,75.87,0,2,57,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
28868,20,4.72,1443.42,-3.89,20.48,20.48,0.0,6.04,81.53,0,2,58,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
18764,13,4.58,1443.42,-5.36,24.85,24.85,0.0,4.38,81.79,0,2,59,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
17321,12,4.33,1443.42,-0.36,13.0,13.0,0.0,6.8,72.29,0,2,60,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
8660,6,4.5,1443.42,5.29,2.4,0.0,2.4,5.86,65.98,0,3,61,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
11546,8,4.95,1443.42,3.27,34.23,20.47,13.76,4.53,83.98,0,3,62,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
8659,6,5.0,1443.42,4.77,22.58,20.78,1.8,6.74,71.79,0,3,63,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
8659,6,4.75,1443.42,1.83,45.47,38.13,7.34,5.11,84.41,0,3,64,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
5772,4,5.0,1443.42,4.24,3.91,0.92,2.99,4.33,79.13,0,3,65,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
15878,11,4.58,1443.42,2.98,42.1,15.38,26.72,6.59,73.81,0,4,66,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
1443,1,4.0,1443.42,4.39,25.13,4.67,20.46,5.79,77.56,0,4,67,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
15877,11,4.43,1443.42,7.75,17.54,0.0,17.54,6.33,71.46,1,4,68,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
12990,9,4.83,1443.42,7.1,13.54,0.0,13.54,5.28,76.23,0,4,69,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
24538,17,4.89,1443.42,5.43,44.82,0.97,43.85,5.97,74.89,1,5,70,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
25981,18,4.82,1443.42,7.8,10.51,0.0,10.51,5.49,73.4,0,5,71,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
10104,7,4.75,1443.42,7.64,6.7,0.0,6.7,6.32,78.91,1,5,72,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
21651,15,4.64,1443.42,10.8,28.29,0.0,28.29,5.78,80.04,0,5,73,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
5773,4,5.0,1443.42,10.88,14.81,0.0,14.81,4.55,84.59,0,6,74,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
18765,13,4.88,1443.42,11.67,65.68,0.0,65.68,5.19,80.88,0,6,75,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
14433,10,5.0,1443.42,13.92,2.47,0.0,2.47,5.38,78.51,0,6,76,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
25982,18,4.83,1443.42,14.01,50.65,0.0,50.65,5.51,80.44,0,6,77,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
24538,17,4.8,1443.42,15.57,39.96,0.0,39.96,5.32,75.14,1,6,78,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
64955,45,4.79,1443.42,16.25,7.92,0.0,7.92,5.13,70.88,0,7,79,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
47632,33,4.6,1443.42,16.71,74.73,0.0,74.73,5.75,77.82,1,7,80,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
37529,26,4.7,1443.42,18.33,0.0,0.0,0.0,5.48,67.91,0,7,81,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
59183,41,4.48,1443.42,19.73,2.93,0.0,2.93,5.26,66.8,0,7,82,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
49076,34,4.61,1443.42,17.16,3.54,0.0,3.54,5.56,67.83,0,8,83,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
44746,31,4.74,1443.42,20.96,0.12,0.0,0.12,5.56,65.42,0,8,84,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
47633,33,4.83,1443.42,17.66,13.94,0.0,13.94,6.98,77.5,0,8,85,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
23094,16,4.86,1443.42,21.77,0.12,0.0,0.12,5.91,70.32,0,8,86,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
41860,29,4.89,1443.42,19.53,0.04,0.0,0.04,5.45,66.38,1,8,87,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
34643,24,4.7,1443.42,17.77,6.95,0.0,6.95,4.77,69.94,0,9,88,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
46190,32,4.75,1443.42,15.83,1.58,0.0,1.58,6.91,71.91,0,9,89,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
37529,26,4.45,1443.42,13.68,0.0,0.0,0.0,4.82,65.78,0,9,90,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
20207,14,4.63,1443.42,14.98,0.0,0.0,0.0,4.39,65.89,0,9,91,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
21651,15,5.0,1443.42,13.2,53.69,0.0,53.69,3.99,82.9,0,10,92,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
25981,18,4.77,1443.42,9.68,13.56,0.0,13.56,4.21,77.8,0,10,93,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
17320,12,4.17,1443.42,8.53,5.65,0.0,5.65,3.85,78.1,0,10,94,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
23094,16,4.67,1443.42,10.54,9.87,0.0,9.87,3.68,74.41,1,10,95,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
17321,12,4.75,1443.42,12.67,1.52,0.0,1.52,3.32,72.3,0,11,96,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
12989,9,4.83,1443.42,11.72,7.45,0.0,7.45,4.19,72.48,0,11,97,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
37529,26,4.79,1443.42,8.96,28.37,0.0,28.37,3.89,78.84,0,11,98,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
40415,28,4.41,1443.42,3.24,86.91,55.96,30.95,6.51,81.85,0,11,99,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
24538,17,4.65,1443.42,4.21,22.94,4.05,18.89,6.75,76.99,0,11,100,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
18763,13,4.78,1443.42,5.52,26.3,1.51,24.79,5.65,73.92,0,12,101,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
7216,5,4.88,1443.42,2.96,42.16,26.93,15.23,3.75,88.51,0,12,102,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
8660,6,5.0,1443.42,1.53,10.72,2.17,8.55,4.29,81.62,0,12,103,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
5774,4,5.0,1443.42,1.86,33.74,22.41,11.33,5.29,79.04,0,12,104,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
