tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Elevit Yaylası - Rize_temp,Elevit Yaylası - Rize_prcp,Elevit Yaylası - Rize_snow,Elevit Yaylası - Rize_rain,Elevit Yaylası - Rize_wspd,Elevit Yaylası - Rize_rhum
2025.01.13 - 2025.01.19,97.0,1.0,5.0,96.93,-4.06,0.0,0.0,0.0,11.9,63.5
2025.01.20 - 2025.01.26,0.0,0.0,,96.93,-6.35,115.36,115.36,0.0,13.71,88.75
2025.01.27 - 2025.02.02,0.0,0.0,,96.93,-5.33,4.86,4.86,0.0,10.85,68.7
2025.02.03 - 2025.02.09,194.0,2.0,5.0,96.93,-5.44,0.0,0.0,0.0,10.59,60.83
2025.02.10 - 2025.02.16,0.0,0.0,,96.93,-7.84,56.95,56.95,0.0,10.25,84.02
2025.02.17 - 2025.02.23,0.0,0.0,,96.93,-6.15,23.65,23.65,0.0,11.09,72.82
2025.02.24 - 2025.03.02,97.0,1.0,5.0,96.93,-11.7,108.59,108.59,0.0,15.55,79.56
2025.03.03 - 2025.03.09,0.0,0.0,,96.93,-10.09,65.1,65.1,0.0,12.3,73.94
2025.03.10 - 2025.03.16,97.0,1.0,4.0,96.93,-5.49,9.57,9.57,0.0,8.12,71.88
2025.03.17 - 2025.03.23,0.0,0.0,,96.93,3.98,0.0,0.0,0.0,14.68,55.68
2025.03.24 - 2025.03.30,0.0,0.0,,96.93,-6.01,39.66,39.66,0.0,12.07,77.12
2025.03.31 - 2025.04.06,0.0,0.0,,96.93,3.64,4.15,3.53,0.62,13.64,66.25
2025.04.07 - 2025.04.13,291.0,3.0,1.33,96.93,1.92,17.83,13.45,4.38,11.0,76.08
2025.04.14 - 2025.04.20,97.0,1.0,4.0,96.93,-5.48,53.92,53.92,0.0,13.43,81.62
2025.04.21 - 2025.04.27,291.0,3.0,5.0,96.93,-1.32,18.42,18.42,0.0,9.45,82.07
2025.04.28 - 2025.05.04,194.0,2.0,4.5,96.93,0.52,19.89,19.89,0.0,9.42,85.28
2025.05.05 - 2025.05.11,97.0,1.0,5.0,96.93,-0.05,17.41,17.41,0.0,9.0,81.53
2025.05.12 - 2025.05.18,0.0,0.0,,96.93,5.25,13.94,0.0,13.94,10.53,74.59
2025.05.19 - 2025.05.25,291.0,3.0,5.0,96.93,2.1,53.28,48.77,4.51,11.7,81.08
2025.05.26 - 2025.06.01,582.0,6.0,5.0,96.93,6.01,0.29,0.0,0.29,9.84,70.16
2025.06.02 - 2025.06.08,485.0,5.0,4.0,96.93,4.88,19.69,0.0,19.69,10.29,83.18
2025.06.09 - 2025.06.15,1164.0,12.0,4.87,96.93,6.86,15.26,0.0,15.26,8.66,79.45
2025.06.16 - 2025.06.22,582.0,6.0,4.8,96.93,7.89,44.53,0.0,44.53,9.82,81.78
2025.06.23 - 2025.06.29,582.0,6.0,4.75,96.93,6.98,17.12,0.0,17.12,9.92,76.85
2025.06.30 - 2025.07.06,1261.0,13.0,4.8,96.93,8.27,16.39,0.0,16.39,10.92,70.83
2025.07.07 - 2025.07.13,1552.0,16.0,5.0,96.93,7.11,34.33,0.0,34.33,10.52,81.57
2025.07.14 - 2025.07.20,2908.0,30.0,4.68,96.93,12.7,3.56,0.0,3.56,7.33,82.87
2025.07.21 - 2025.07.27,5524.0,57.0,4.89,96.93,12.23,18.93,0.0,18.93,8.85,85.25
2025.07.28 - 2025.08.03,4071.0,42.0,4.8,96.93,13.61,5.17,0.0,5.17,8.12,81.68
2025.08.04 - 2025.08.10,5040.0,52.0,4.85,96.93,14.13,17.87,0.0,17.87,9.87,84.56
2025.08.11 - 2025.08.17,6687.0,69.0,4.73,96.93,12.63,25.99,0.0,25.99,10.03,84.75
2025.08.18 - 2025.08.24,5717.0,59.0,4.46,96.93,11.3,0.09,0.0,0.09,10.03,73.91
2025.08.25 - 2025.08.31,4943.0,51.0,4.6,96.93,11.79,49.68,0.0,49.68,10.98,79.33
2025.09.01 - 2025.09.07,3974.0,41.0,4.6,96.93,10.73,9.13,0.0,9.13,8.92,82.41
2025.09.08 - 2025.09.14,3490.0,36.0,4.47,96.93,10.37,96.97,0.0,96.97,9.04,87.22
2025.09.15 - 2025.09.21,2037.0,21.0,4.45,96.93,8.09,29.68,0.0,29.68,10.81,81.3
2025.09.22 - 2025.09.28,1843.0,19.0,4.29,96.93,5.48,132.31,0.0,132.31,15.0,80.39
2025.09.29 - 2025.10.05,1261.0,13.0,4.83,96.93,5.41,34.16,0.0,34.16,10.17,81.45
2025.10.06 - 2025.10.12,679.0,7.0,4.9,96.93,5.7,38.07,0.0,38.07,8.91,81.97
2025.10.13 - 2025.10.19,1164.0,12.0,4.82,96.93,3.92,73.35,41.16,32.19,10.71,80.0
2025.10.20 - 2025.10.26,0.0,0.0,,96.93,2.28,29.86,26.54,3.32,9.29,80.54
2025.10.27 - 2025.11.02,776.0,8.0,4.95,96.93,3.44,26.33,1.25,25.08,12.99,76.24
2025.11.03 - 2025.11.09,388.0,4.0,4.33,96.93,1.2,37.27,37.27,0.0,12.44,71.58
2025.11.10 - 2025.11.16,97.0,1.0,5.0,96.93,2.57,0.0,0.0,0.0,10.18,69.25
2025.11.17 - 2025.11.23,388.0,4.0,5.0,96.93,1.63,18.77,18.28,0.49,11.26,77.25
2025.11.24 - 2025.11.30,194.0,2.0,4.0,96.93,1.07,0.0,0.0,0.0,12.19,55.06
2025.12.01 - 2025.12.07,194.0,2.0,5.0,96.93,0.34,8.67,8.67,0.0,10.4,63.01
2025.12.08 - 2025.12.14,291.0,3.0,3.67,96.93,-1.23,7.35,7.35,0.0,12.18,69.86
2025.12.15 - 2025.12.21,194.0,2.0,5.0,96.93,-3.46,98.81,98.81,0.0,12.36,86.3
2025.12.22 - 2025.12.28,97.0,1.0,5.0,96.93,-5.41,14.63,14.63,0.0,11.0,70.9
2025.12.29 - 2026.01.04,0.0,0.0,,96.93,-6.05,66.06,66.06,0.0,11.6,79.22
2026.01.05 - 2026.01.11,0.0,0.0,,96.93,-7.44,18.71,18.71,0.0,18.62,66.77
