tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Ayder yaylası - Rize_temp,Ayder yaylası - Rize_prcp,Ayder yaylası - Rize_snow,Ayder yaylası - Rize_rain,Ayder yaylası - Rize_wspd,Ayder yaylası - Rize_rhum
2024.07.15 - 2024.07.21,0.0,0.0,,2380.95,16.92,20.53,0.0,20.53,8.36,82.25
2024.07.22 - 2024.07.28,0.0,0.0,,2380.95,17.71,41.4,0.0,41.4,8.97,82.42
2024.07.29 - 2024.08.04,0.0,0.0,,2380.95,16.93,20.62,0.0,20.62,10.31,79.55
2024.08.05 - 2024.08.11,0.0,0.0,,2380.95,16.54,18.42,0.0,18.42,9.38,79.57
2024.08.12 - 2024.08.18,0.0,0.0,,2380.95,16.74,11.54,0.0,11.54,9.52,79.35
2024.08.19 - 2024.08.25,0.0,0.0,,2380.95,15.57,0.72,0.0,0.72,10.08,74.61
2024.08.26 - 2024.09.01,0.0,0.0,,2380.95,17.19,36.76,0.0,36.76,9.44,81.21
2024.09.02 - 2024.09.08,0.0,0.0,,2380.95,8.73,10.38,0.0,10.38,12.36,84.28
2024.09.09 - 2024.09.15,0.0,0.0,,2380.95,14.08,21.94,0.0,21.94,9.6,83.09
2024.09.16 - 2024.09.22,123811.0,52.0,4.13,2380.95,17.39,24.21,0.0,24.21,9.95,77.55
2024.09.23 - 2024.09.29,123811.0,52.0,4.32,2380.95,12.81,84.41,0.0,84.41,9.75,82.89
2024.09.30 - 2024.10.06,92859.0,39.0,4.31,2380.95,14.02,8.64,0.0,8.64,10.13,75.8
2024.10.07 - 2024.10.13,80954.0,34.0,4.54,2380.95,11.71,73.31,0.0,73.31,11.92,70.99
2024.10.14 - 2024.10.20,76192.0,32.0,4.45,2380.95,11.98,65.28,0.0,65.28,11.01,79.96
2024.10.21 - 2024.10.27,61906.0,26.0,4.67,2380.95,5.06,135.72,30.61,105.11,16.62,85.61
2024.10.28 - 2024.11.03,42858.0,18.0,4.57,2380.95,4.18,101.96,0.0,101.96,12.44,80.76
2024.11.04 - 2024.11.10,50001.0,21.0,4.47,2380.95,4.13,16.45,4.48,11.97,11.59,74.5
2024.11.11 - 2024.11.17,52382.0,22.0,4.71,2380.95,1.44,70.41,70.41,0.0,12.34,73.7
2024.11.18 - 2024.11.24,80954.0,34.0,4.34,2380.95,3.4,53.13,17.86,35.27,10.84,74.29
2024.11.25 - 2024.12.01,50001.0,21.0,4.81,2380.95,3.6,87.25,67.37,19.88,16.05,75.53
2024.12.02 - 2024.12.08,28572.0,12.0,4.39,2380.95,-2.16,77.88,77.88,0.0,13.69,75.88
2024.12.09 - 2024.12.15,33334.0,14.0,4.69,2380.95,0.49,0.07,0.07,0.0,13.86,63.43
2024.12.16 - 2024.12.22,30953.0,13.0,4.85,2380.95,-0.74,49.0,49.0,0.0,18.08,74.41
2024.12.23 - 2024.12.29,38096.0,16.0,4.01,2380.95,-0.54,48.87,48.87,0.0,15.17,71.69
2024.12.30 - 2025.01.05,28572.0,12.0,4.25,2380.95,1.1,43.96,43.91,0.05,13.67,74.36
2025.01.06 - 2025.01.12,8319.0,13.0,4.69,617.26,-1.69,31.06,31.06,0.0,11.28,71.81
2025.01.13 - 2025.01.19,4204.0,13.0,4.44,323.31,0.1,0.0,0.0,0.0,12.21,63.04
2025.01.20 - 2025.01.26,4851.0,15.0,4.92,323.31,-2.28,115.13,115.13,0.0,13.42,88.53
2025.01.27 - 2025.02.02,7761.0,24.0,4.76,323.31,-1.24,4.54,4.54,0.0,10.98,68.17
2025.02.03 - 2025.02.09,6144.0,19.0,4.95,323.31,-1.3,0.0,0.0,0.0,10.79,60.26
2025.02.10 - 2025.02.16,4204.0,13.0,3.75,323.31,-3.76,52.68,52.68,0.0,9.94,83.85
2025.02.17 - 2025.02.23,6144.0,19.0,4.41,323.31,-2.06,22.14,22.14,0.0,10.96,72.25
2025.02.24 - 2025.03.02,2910.0,9.0,4.46,323.31,-7.61,106.52,106.52,0.0,15.09,79.75
2025.03.03 - 2025.03.09,1940.0,6.0,4.38,323.31,-6.05,65.72,65.72,0.0,12.22,73.94
2025.03.10 - 2025.03.16,1616.0,5.0,5.0,323.31,-1.32,8.73,8.73,0.0,8.14,71.19
2025.03.17 - 2025.03.23,2586.0,8.0,4.73,323.31,8.13,0.0,0.0,0.0,14.85,54.4
2025.03.24 - 2025.03.30,1617.0,5.0,3.83,323.31,-1.91,37.19,37.19,0.0,11.79,76.89
2025.03.31 - 2025.04.06,4203.0,13.0,3.63,323.31,7.88,4.32,0.0,4.32,13.55,65.51
2025.04.07 - 2025.04.13,17781.0,55.0,3.68,323.31,6.14,18.34,0.0,18.34,10.92,75.36
2025.04.14 - 2025.04.20,9375.0,29.0,4.49,323.31,-1.34,52.04,52.04,0.0,13.04,81.38
2025.04.21 - 2025.04.27,10347.0,32.0,4.33,323.31,2.9,18.91,14.37,4.54,9.35,81.72
2025.04.28 - 2025.05.04,14225.0,44.0,4.59,323.31,4.78,20.38,5.46,14.92,9.29,84.81
2025.05.05 - 2025.05.11,16165.0,50.0,4.57,323.31,4.1,16.26,0.21,16.05,8.88,81.11
2025.05.12 - 2025.05.18,21015.0,65.0,4.19,323.31,9.49,13.27,0.0,13.27,10.42,73.71
2025.05.19 - 2025.05.25,18753.0,58.0,4.48,323.31,6.27,52.11,0.0,52.11,11.52,80.75
2025.05.26 - 2025.06.01,25864.0,80.0,4.39,323.31,10.24,0.32,0.0,0.32,9.78,69.46
2025.06.02 - 2025.06.08,26834.0,83.0,4.61,323.31,9.02,19.64,0.0,19.64,10.07,82.89
2025.06.09 - 2025.06.15,30067.0,93.0,4.35,323.31,10.99,13.76,0.0,13.76,8.61,79.22
2025.06.16 - 2025.06.22,40738.0,126.0,4.41,323.31,11.95,43.22,0.0,43.22,9.7,81.8
2025.06.23 - 2025.06.29,31361.0,97.0,4.61,323.31,11.03,17.82,0.0,17.82,9.9,76.7
2025.06.30 - 2025.07.06,40415.0,125.0,4.57,323.31,12.36,15.56,0.0,15.56,10.82,70.72
2025.07.07 - 2025.07.13,44617.0,138.0,4.64,323.31,11.16,33.68,0.0,33.68,10.38,81.45
2025.07.14 - 2025.07.20,70804.0,219.0,4.35,323.31,16.82,3.23,0.0,3.23,7.35,82.61
2025.07.21 - 2025.07.27,60135.0,186.0,4.41,323.31,16.33,19.69,0.0,19.69,8.71,85.02
2025.07.28 - 2025.08.03,57871.0,179.0,4.34,323.31,17.69,5.17,0.0,5.17,8.09,81.6
2025.08.04 - 2025.08.10,50759.0,157.0,4.24,323.31,18.3,16.61,0.0,16.61,9.67,84.22
2025.08.11 - 2025.08.17,65631.0,203.0,4.37,323.31,16.7,25.21,0.0,25.21,9.85,84.72
2025.08.18 - 2025.08.24,60134.0,186.0,4.34,323.31,15.32,0.1,0.0,0.1,10.04,74.02
2025.08.25 - 2025.08.31,48820.0,151.0,4.17,323.31,15.87,48.65,0.0,48.65,10.91,78.96
2025.09.01 - 2025.09.07,53346.0,165.0,4.39,323.31,14.93,8.48,0.0,8.48,8.86,82.31
2025.09.08 - 2025.09.14,49143.0,152.0,4.15,323.31,14.52,91.5,0.0,91.5,8.9,86.88
2025.09.15 - 2025.09.21,45587.0,141.0,4.46,323.31,12.12,29.14,0.0,29.14,10.68,81.34
2025.09.22 - 2025.09.28,34918.0,108.0,4.38,323.31,9.52,129.68,0.0,129.68,14.69,80.33
2025.09.29 - 2025.10.05,16812.0,52.0,4.47,323.31,9.52,31.14,0.0,31.14,9.97,81.05
2025.10.06 - 2025.10.12,20367.0,63.0,4.54,323.31,9.85,36.02,0.0,36.02,8.83,81.61
2025.10.13 - 2025.10.19,16489.0,51.0,4.55,323.31,8.03,72.56,0.0,72.56,10.52,79.65
2025.10.20 - 2025.10.26,14549.0,45.0,4.4,323.31,6.38,28.81,0.0,28.81,9.22,80.47
2025.10.27 - 2025.11.02,13904.0,43.0,4.8,323.31,7.51,26.41,0.0,26.41,12.99,75.97
2025.11.03 - 2025.11.09,9700.0,30.0,4.33,323.31,5.3,36.69,0.0,36.69,12.43,71.41
2025.11.10 - 2025.11.16,7437.0,23.0,4.52,323.31,6.7,0.0,0.0,0.0,10.23,68.63
2025.11.17 - 2025.11.23,14226.0,44.0,4.25,323.31,5.76,17.23,0.0,17.23,11.04,76.85
2025.11.24 - 2025.11.30,8731.0,27.0,4.28,323.31,5.26,0.0,0.0,0.0,12.54,54.28
2025.12.01 - 2025.12.07,5821.0,18.0,4.09,323.31,4.45,8.76,0.0,8.76,10.57,62.3
2025.12.08 - 2025.12.14,6790.0,21.0,4.69,323.31,2.85,7.28,5.73,1.55,12.32,69.53
2025.12.15 - 2025.12.21,5820.0,18.0,4.44,323.31,0.6,96.74,70.51,26.23,12.07,86.21
2025.12.22 - 2025.12.28,5173.0,16.0,4.36,323.31,-1.34,14.45,14.45,0.0,10.86,70.66
2025.12.29 - 2026.01.04,4850.0,15.0,4.2,323.31,-2.03,65.93,65.93,0.0,11.42,79.22
2026.01.05 - 2026.01.11,2910.0,9.0,3.92,323.31,-3.51,19.44,19.44,0.0,18.51,67.35
