tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Elevit Yaylası - Rize_temp,Elevit Yaylası - Rize_prcp,Elevit Yaylası - Rize_snow,Elevit Yaylası - Rize_rain,Elevit Yaylası - Rize_wspd,Elevit Yaylası - Rize_rhum
2022.09.19 - 2022.09.25,1230.0,6.0,4.0,205.13,10.39,63.15,0.0,63.15,8.93,73.43
2022.09.26 - 2022.10.02,820.0,4.0,4.75,205.13,6.86,100.04,0.0,100.04,8.24,82.89
2022.10.03 - 2022.10.09,615.0,3.0,5.0,205.13,9.01,26.49,0.0,26.49,7.69,69.15
2022.10.10 - 2022.10.16,615.0,3.0,4.0,205.13,6.22,68.3,0.0,68.3,7.03,86.57
2022.10.17 - 2022.10.23,0.0,0.0,,205.13,5.08,11.09,0.0,11.09,6.67,84.26
2022.10.24 - 2022.10.30,205.0,1.0,5.0,205.13,3.31,139.99,71.52,68.47,7.5,82.8
2022.10.31 - 2022.11.06,615.0,3.0,5.0,205.13,2.31,40.24,24.92,15.32,7.62,78.66
2022.11.07 - 2022.11.13,205.0,1.0,5.0,205.13,1.08,72.17,71.52,0.65,7.44,78.81
2022.11.14 - 2022.11.20,410.0,2.0,5.0,205.13,1.07,26.39,25.11,1.28,5.81,86.44
2022.11.21 - 2022.11.27,0.0,0.0,,205.13,2.71,3.61,2.24,1.37,10.44,64.79
2022.11.28 - 2022.12.04,205.0,1.0,5.0,205.13,1.52,30.38,30.23,0.15,8.46,68.61
2022.12.05 - 2022.12.11,410.0,2.0,5.0,205.13,-0.79,24.37,24.37,0.0,5.86,78.91
2022.12.12 - 2022.12.18,0.0,0.0,,205.13,-1.19,1.91,1.91,0.0,9.32,63.48
2022.12.19 - 2022.12.25,0.0,0.0,,205.13,-0.18,22.19,22.19,0.0,8.7,71.48
2022.12.26 - 2023.01.01,0.0,0.0,,205.13,-4.24,27.6,27.6,0.0,6.67,72.59
2023.01.02 - 2023.01.08,0.0,0.0,,192.28,-5.29,29.71,29.71,0.0,9.1,60.42
2023.01.09 - 2023.01.15,0.0,0.0,,160.14,-5.85,63.1,63.1,0.0,7.43,75.82
2023.01.16 - 2023.01.22,0.0,0.0,,160.14,-4.92,0.0,0.0,0.0,13.18,51.91
2023.01.23 - 2023.01.29,0.0,0.0,,160.14,-1.94,0.0,0.0,0.0,12.33,55.61
2023.01.30 - 2023.02.05,160.0,1.0,5.0,160.14,-4.5,18.27,18.27,0.0,12.38,65.39
2023.02.06 - 2023.02.12,0.0,0.0,,160.14,-5.66,35.42,35.42,0.0,12.52,70.88
2023.02.13 - 2023.02.19,0.0,0.0,,160.14,-8.16,39.18,39.18,0.0,12.94,77.98
2023.02.20 - 2023.02.26,0.0,0.0,,160.14,-7.73,104.97,104.97,0.0,15.86,73.51
2023.02.27 - 2023.03.05,0.0,0.0,,160.14,-3.2,65.08,65.08,0.0,14.41,68.04
2023.03.06 - 2023.03.12,0.0,0.0,,160.14,-1.77,32.53,32.53,0.0,12.76,77.67
2023.03.13 - 2023.03.19,0.0,0.0,,160.14,1.1,10.34,10.34,0.0,14.73,63.26
2023.03.20 - 2023.03.26,0.0,0.0,,160.14,-1.66,16.92,16.92,0.0,8.78,87.33
2023.03.27 - 2023.04.02,0.0,0.0,,160.14,-1.94,30.35,30.35,0.0,9.02,84.96
2023.04.03 - 2023.04.09,320.0,2.0,5.0,160.14,-2.75,65.99,65.01,0.98,14.28,74.62
2023.04.10 - 2023.04.16,0.0,0.0,,160.14,0.73,35.37,33.78,1.59,12.37,76.74
2023.04.17 - 2023.04.23,0.0,0.0,,160.14,2.17,25.42,25.27,0.15,11.15,75.4
2023.04.24 - 2023.04.30,160.0,1.0,5.0,160.14,3.31,28.6,26.02,2.58,11.27,78.41
2023.05.01 - 2023.05.07,480.0,3.0,5.0,160.14,2.04,49.55,37.32,12.23,11.11,79.75
2023.05.08 - 2023.05.14,320.0,2.0,4.0,160.14,2.05,8.06,2.52,5.54,9.94,77.29
2023.05.15 - 2023.05.21,320.0,2.0,5.0,160.14,1.31,46.87,45.68,1.19,10.09,86.07
2023.05.22 - 2023.05.28,320.0,2.0,4.5,160.14,4.27,16.38,0.0,16.38,8.94,78.48
2023.05.29 - 2023.06.04,640.0,4.0,5.0,160.14,7.08,7.15,0.0,7.15,10.05,81.48
2023.06.05 - 2023.06.11,480.0,3.0,5.0,160.14,8.75,5.01,0.0,5.01,9.62,82.17
2023.06.12 - 2023.06.18,320.0,2.0,5.0,160.14,8.85,18.0,0.0,18.0,8.97,85.11
2023.06.19 - 2023.06.25,800.0,5.0,4.33,160.14,9.13,51.59,0.0,51.59,9.29,86.18
2023.06.26 - 2023.07.02,1120.0,7.0,5.0,160.14,8.81,59.05,0.0,59.05,9.97,85.42
2023.07.03 - 2023.07.09,2720.0,17.0,4.95,160.14,9.67,32.61,0.0,32.61,9.31,80.1
2023.07.10 - 2023.07.16,3362.0,21.0,4.89,160.14,11.97,79.56,0.0,79.56,11.08,82.07
2023.07.17 - 2023.07.23,3041.0,19.0,4.58,160.14,9.66,30.53,0.0,30.53,11.02,70.47
2023.07.24 - 2023.07.30,2082.0,13.0,4.75,160.14,10.61,4.55,0.0,4.55,9.03,77.98
2023.07.31 - 2023.08.06,3683.0,23.0,4.67,160.14,11.65,22.7,0.0,22.7,10.69,79.54
2023.08.07 - 2023.08.13,2562.0,16.0,4.97,160.14,14.49,1.73,0.0,1.73,9.3,78.55
2023.08.14 - 2023.08.20,3203.0,20.0,4.68,160.14,13.68,41.34,0.0,41.34,9.19,86.17
2023.08.21 - 2023.08.27,2562.0,16.0,4.58,160.14,13.42,4.38,0.0,4.38,8.53,81.78
2023.08.28 - 2023.09.03,2561.0,16.0,5.0,160.14,11.66,17.4,0.0,17.4,10.69,78.81
2023.09.04 - 2023.09.10,4964.0,31.0,4.46,160.14,12.43,32.84,0.0,32.84,9.46,79.88
2023.09.11 - 2023.09.17,2082.0,13.0,4.42,160.14,9.51,40.62,0.0,40.62,12.18,80.99
2023.09.18 - 2023.09.24,1280.0,8.0,4.67,160.14,7.42,40.41,0.0,40.41,11.03,80.17
2023.09.25 - 2023.10.01,1761.0,11.0,4.56,160.14,9.95,0.85,0.0,0.85,8.62,80.57
2023.10.02 - 2023.10.08,800.0,5.0,4.25,160.14,9.87,55.34,0.0,55.34,9.9,80.81
2023.10.09 - 2023.10.15,640.0,4.0,5.0,160.14,5.67,93.31,0.0,93.31,12.4,79.83
2023.10.16 - 2023.10.22,320.0,2.0,2.5,160.14,3.59,12.34,10.99,1.35,10.27,75.19
2023.10.23 - 2023.10.29,320.0,2.0,3.5,160.14,4.32,61.76,22.4,39.36,11.67,75.1
2023.10.30 - 2023.11.05,480.0,3.0,5.0,160.14,7.61,0.04,0.0,0.04,12.67,65.9
2023.11.06 - 2023.11.12,480.0,3.0,4.67,160.14,6.94,10.1,0.0,10.1,12.27,67.5
2023.11.13 - 2023.11.19,160.0,1.0,5.0,160.14,4.11,41.78,22.78,19.0,13.83,68.99
2023.11.20 - 2023.11.26,160.0,1.0,5.0,160.14,1.15,120.38,89.16,31.22,16.46,75.73
2023.11.27 - 2023.12.03,160.0,1.0,5.0,160.14,-0.68,140.9,140.77,0.13,18.95,73.9
2023.12.04 - 2023.12.10,0.0,0.0,,160.14,-0.31,18.54,18.54,0.0,15.31,60.77
2023.12.11 - 2023.12.17,0.0,0.0,,160.14,0.18,15.66,15.18,0.48,10.88,75.83
2023.12.18 - 2023.12.24,0.0,0.0,,160.14,-2.3,76.59,76.59,0.0,13.39,76.6
2023.12.25 - 2023.12.31,160.0,1.0,5.0,160.14,-3.38,59.8,59.8,0.0,15.78,67.61
2024.01.01 - 2024.01.07,0.0,0.0,,164.12,-2.83,22.07,22.07,0.0,14.35,65.49
2024.01.08 - 2024.01.14,188.0,1.0,5.0,187.97,-2.0,74.5,74.5,0.0,16.23,68.08
2024.01.15 - 2024.01.21,188.0,1.0,5.0,187.97,-6.89,96.61,96.61,0.0,12.62,82.67
2024.01.22 - 2024.01.28,0.0,0.0,,187.97,-2.86,73.94,73.94,0.0,16.1,73.82
2024.01.29 - 2024.02.04,0.0,0.0,,187.97,-7.49,46.02,46.02,0.0,11.04,78.8
2024.02.05 - 2024.02.11,0.0,0.0,,187.97,-6.62,14.38,14.38,0.0,11.23,67.48
2024.02.12 - 2024.02.18,0.0,0.0,,187.97,0.27,66.17,66.17,0.0,16.65,62.52
2024.02.19 - 2024.02.25,0.0,0.0,,187.97,-1.68,41.34,41.34,0.0,10.65,80.91
2024.02.26 - 2024.03.03,0.0,0.0,,187.97,-3.11,9.13,9.13,0.0,9.84,69.3
2024.03.04 - 2024.03.10,0.0,0.0,,187.97,-2.29,0.45,0.45,0.0,9.5,56.46
2024.03.11 - 2024.03.17,188.0,1.0,5.0,187.97,-2.82,48.33,48.33,0.0,11.19,78.29
2024.03.18 - 2024.03.24,0.0,0.0,,187.97,-0.81,27.84,27.84,0.0,10.69,72.67
2024.03.25 - 2024.03.31,0.0,0.0,,187.97,-3.2,39.17,39.17,0.0,10.72,79.95
2024.04.01 - 2024.04.07,376.0,2.0,3.0,187.97,1.33,13.32,12.63,0.69,13.57,61.78
2024.04.08 - 2024.04.14,188.0,1.0,5.0,187.97,2.08,6.85,6.79,0.06,10.66,69.69
2024.04.15 - 2024.04.21,940.0,5.0,5.0,187.97,0.97,5.17,5.17,0.0,8.16,82.61
2024.04.22 - 2024.04.28,188.0,1.0,5.0,187.97,7.4,0.42,0.0,0.42,11.58,63.34
2024.04.29 - 2024.05.05,564.0,3.0,5.0,187.97,8.02,2.62,0.0,2.62,10.74,67.3
2024.05.06 - 2024.05.12,0.0,0.0,,187.97,2.54,63.5,38.69,24.81,9.28,87.48
2024.05.13 - 2024.05.19,376.0,2.0,4.5,187.97,3.5,17.81,7.73,10.08,11.28,75.22
2024.05.20 - 2024.05.26,376.0,2.0,5.0,187.97,2.23,21.44,9.88,11.56,9.67,78.47
2024.05.27 - 2024.06.02,188.0,1.0,5.0,187.97,6.42,10.43,0.0,10.43,8.62,78.33
2024.06.03 - 2024.06.09,752.0,4.0,5.0,187.97,8.49,14.4,0.0,14.4,9.26,78.01
2024.06.10 - 2024.06.16,940.0,5.0,5.0,187.97,10.97,15.21,0.0,15.21,8.74,76.25
2024.06.17 - 2024.06.23,940.0,5.0,5.0,187.97,12.34,7.73,0.0,7.73,10.2,70.99
2024.06.24 - 2024.06.30,4136.0,22.0,4.26,187.97,11.85,5.47,0.0,5.47,8.41,82.08
2024.07.01 - 2024.07.07,3008.0,16.0,4.76,187.97,10.68,35.58,0.0,35.58,11.06,77.85
2024.07.08 - 2024.07.14,2256.0,12.0,4.82,187.97,12.83,10.92,0.0,10.92,10.68,80.58
2024.07.15 - 2024.07.21,1316.0,7.0,4.9,187.97,12.69,20.3,0.0,20.3,8.38,82.6
2024.07.22 - 2024.07.28,1316.0,7.0,4.33,187.97,13.64,42.79,0.0,42.79,9.07,82.58
2024.07.29 - 2024.08.04,4136.0,22.0,4.42,187.97,12.93,19.36,0.0,19.36,10.43,79.72
2024.08.05 - 2024.08.11,3572.0,19.0,4.71,187.97,12.51,18.39,0.0,18.39,9.46,79.55
2024.08.12 - 2024.08.18,3196.0,17.0,5.0,187.97,12.62,12.09,0.0,12.09,9.59,79.45
2024.08.19 - 2024.08.25,5452.0,29.0,4.63,187.97,11.34,0.66,0.0,0.66,10.1,74.64
2024.08.26 - 2024.09.01,5452.0,29.0,4.54,187.97,12.97,38.77,0.0,38.77,9.55,81.63
2024.09.02 - 2024.09.08,1128.0,6.0,4.2,187.97,3.46,9.28,6.7,2.58,12.87,84.9
2024.09.09 - 2024.09.15,3008.0,16.0,4.71,187.97,9.68,23.32,0.0,23.32,9.74,83.55
2024.09.16 - 2024.09.22,1316.0,7.0,4.83,187.97,13.25,22.4,0.0,22.4,10.02,78.07
2024.09.23 - 2024.09.29,376.0,2.0,5.0,187.97,8.73,89.25,0.0,89.25,9.84,83.1
2024.09.30 - 2024.10.06,376.0,2.0,5.0,187.97,9.93,9.62,0.0,9.62,10.05,76.3
2024.10.07 - 2024.10.13,564.0,3.0,4.75,187.97,7.58,75.62,0.0,75.62,11.88,71.33
2024.10.14 - 2024.10.20,752.0,4.0,4.17,187.97,7.86,66.3,0.0,66.3,11.02,80.33
2024.10.21 - 2024.10.27,376.0,2.0,5.0,187.97,0.98,133.35,89.65,43.7,17.38,85.54
2024.10.28 - 2024.11.03,376.0,2.0,4.0,187.97,0.15,103.19,103.19,0.0,12.65,80.76
2024.11.04 - 2024.11.10,188.0,1.0,5.0,187.97,0.1,16.52,16.52,0.0,11.58,74.51
2024.11.11 - 2024.11.17,0.0,0.0,,187.97,-2.6,71.67,71.67,0.0,12.37,73.67
2024.11.18 - 2024.11.24,752.0,4.0,4.75,187.97,-0.67,55.53,55.53,0.0,10.86,74.65
2024.11.25 - 2024.12.01,376.0,2.0,4.5,187.97,-0.55,91.21,91.21,0.0,16.34,75.62
2024.12.02 - 2024.12.08,0.0,0.0,,187.97,-6.21,75.99,75.99,0.0,13.82,75.83
2024.12.09 - 2024.12.15,188.0,1.0,5.0,187.97,-3.56,0.07,0.07,0.0,13.53,63.97
2024.12.16 - 2024.12.22,0.0,0.0,,187.97,-5.01,46.63,46.63,0.0,18.17,74.75
2024.12.23 - 2024.12.29,0.0,0.0,,187.97,-4.56,49.0,49.0,0.0,14.95,71.63
2024.12.30 - 2025.01.05,0.0,0.0,,187.97,-2.95,45.85,45.85,0.0,13.73,74.75
2025.01.06 - 2025.01.12,89.0,1.0,5.0,103.01,-5.77,33.02,33.02,0.0,11.27,72.06
2025.01.13 - 2025.01.19,89.0,1.0,5.0,88.85,-4.06,0.0,0.0,0.0,11.9,63.5
2025.01.20 - 2025.01.26,0.0,0.0,,88.85,-6.35,115.36,115.36,0.0,13.71,88.75
2025.01.27 - 2025.02.02,0.0,0.0,,88.85,-5.33,4.86,4.86,0.0,10.85,68.7
2025.02.03 - 2025.02.09,178.0,2.0,5.0,88.85,-5.44,0.0,0.0,0.0,10.59,60.83
2025.02.10 - 2025.02.16,0.0,0.0,,88.85,-7.84,56.95,56.95,0.0,10.25,84.02
2025.02.17 - 2025.02.23,0.0,0.0,,88.85,-6.15,23.65,23.65,0.0,11.09,72.82
2025.02.24 - 2025.03.02,89.0,1.0,5.0,88.85,-11.7,108.59,108.59,0.0,15.55,79.56
2025.03.03 - 2025.03.09,0.0,0.0,,88.85,-10.09,65.1,65.1,0.0,12.3,73.94
2025.03.10 - 2025.03.16,89.0,1.0,4.0,88.85,-5.49,9.57,9.57,0.0,8.12,71.88
2025.03.17 - 2025.03.23,0.0,0.0,,88.85,3.98,0.0,0.0,0.0,14.68,55.68
2025.03.24 - 2025.03.30,0.0,0.0,,88.85,-6.01,39.66,39.66,0.0,12.07,77.12
2025.03.31 - 2025.04.06,0.0,0.0,,88.85,3.64,4.15,3.53,0.62,13.64,66.25
2025.04.07 - 2025.04.13,267.0,3.0,1.33,88.85,1.92,17.83,13.45,4.38,11.0,76.08
2025.04.14 - 2025.04.20,89.0,1.0,4.0,88.85,-5.48,53.92,53.92,0.0,13.43,81.62
2025.04.21 - 2025.04.27,267.0,3.0,5.0,88.85,-1.32,18.42,18.42,0.0,9.45,82.07
2025.04.28 - 2025.05.04,178.0,2.0,4.5,88.85,0.52,19.89,19.89,0.0,9.42,85.28
2025.05.05 - 2025.05.11,89.0,1.0,5.0,88.85,-0.05,17.41,17.41,0.0,9.0,81.53
2025.05.12 - 2025.05.18,0.0,0.0,,88.85,5.25,13.94,0.0,13.94,10.53,74.59
2025.05.19 - 2025.05.25,267.0,3.0,5.0,88.85,2.1,53.28,48.77,4.51,11.7,81.08
2025.05.26 - 2025.06.01,534.0,6.0,5.0,88.85,6.01,0.29,0.0,0.29,9.84,70.16
2025.06.02 - 2025.06.08,445.0,5.0,4.0,88.85,4.88,19.69,0.0,19.69,10.29,83.18
2025.06.09 - 2025.06.15,1067.0,12.0,4.87,88.85,6.86,15.26,0.0,15.26,8.66,79.45
2025.06.16 - 2025.06.22,534.0,6.0,4.8,88.85,7.89,44.53,0.0,44.53,9.82,81.78
2025.06.23 - 2025.06.29,534.0,6.0,4.75,88.85,6.98,17.12,0.0,17.12,9.92,76.85
2025.06.30 - 2025.07.06,1156.0,13.0,4.8,88.85,8.27,16.39,0.0,16.39,10.92,70.83
2025.07.07 - 2025.07.13,1424.0,16.0,5.0,88.85,7.11,34.33,0.0,34.33,10.52,81.57
2025.07.14 - 2025.07.20,2666.0,30.0,4.68,88.85,12.7,3.56,0.0,3.56,7.33,82.87
2025.07.21 - 2025.07.27,5066.0,57.0,4.89,88.85,12.23,18.93,0.0,18.93,8.85,85.25
2025.07.28 - 2025.08.03,3732.0,42.0,4.8,88.85,13.61,5.17,0.0,5.17,8.12,81.68
2025.08.04 - 2025.08.10,4620.0,52.0,4.85,88.85,14.13,17.87,0.0,17.87,9.87,84.56
2025.08.11 - 2025.08.17,6131.0,69.0,4.73,88.85,12.63,25.99,0.0,25.99,10.03,84.75
2025.08.18 - 2025.08.24,5244.0,59.0,4.46,88.85,11.3,0.09,0.0,0.09,10.03,73.91
2025.08.25 - 2025.08.31,4532.0,51.0,4.6,88.85,11.79,49.68,0.0,49.68,10.98,79.33
2025.09.01 - 2025.09.07,3645.0,41.0,4.6,88.85,10.73,9.13,0.0,9.13,8.92,82.41
2025.09.08 - 2025.09.14,3199.0,36.0,4.47,88.85,10.37,96.97,0.0,96.97,9.04,87.22
2025.09.15 - 2025.09.21,1866.0,21.0,4.45,88.85,8.09,29.68,0.0,29.68,10.81,81.3
2025.09.22 - 2025.09.28,1689.0,19.0,4.29,88.85,5.48,132.31,0.0,132.31,15.0,80.39
2025.09.29 - 2025.10.05,1156.0,13.0,4.83,88.85,5.41,34.16,0.0,34.16,10.17,81.45
2025.10.06 - 2025.10.12,623.0,7.0,4.9,88.85,5.7,38.07,0.0,38.07,8.91,81.97
2025.10.13 - 2025.10.19,1067.0,12.0,4.82,88.85,3.92,73.35,41.16,32.19,10.71,80.0
2025.10.20 - 2025.10.26,0.0,0.0,,88.85,2.28,29.86,26.54,3.32,9.29,80.54
2025.10.27 - 2025.11.02,711.0,8.0,4.95,88.85,3.44,26.33,1.25,25.08,12.99,76.24
2025.11.03 - 2025.11.09,356.0,4.0,4.33,88.85,1.2,37.27,37.27,0.0,12.44,71.58
2025.11.10 - 2025.11.16,89.0,1.0,5.0,88.85,2.57,0.0,0.0,0.0,10.18,69.25
2025.11.17 - 2025.11.23,356.0,4.0,5.0,88.85,1.63,18.77,18.28,0.49,11.26,77.25
2025.11.24 - 2025.11.30,178.0,2.0,4.0,88.85,1.07,0.0,0.0,0.0,12.19,55.06
2025.12.01 - 2025.12.07,178.0,2.0,5.0,88.85,0.34,8.67,8.67,0.0,10.4,63.01
2025.12.08 - 2025.12.14,267.0,3.0,3.67,88.85,-1.23,7.35,7.35,0.0,12.18,69.86
2025.12.15 - 2025.12.21,178.0,2.0,5.0,88.85,-3.46,98.81,98.81,0.0,12.36,86.3
2025.12.22 - 2025.12.28,89.0,1.0,5.0,88.85,-5.41,14.63,14.63,0.0,11.0,70.9
2025.12.29 - 2026.01.04,0.0,0.0,,88.85,-6.05,66.06,66.06,0.0,11.6,79.22
2026.01.05 - 2026.01.11,0.0,0.0,,88.85,-7.44,18.71,18.71,0.0,18.62,66.77
